total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
6.2,68.19,295.2,23.65,0.28,Enrolled,1103.41
24.05,101.26,1079.73,44.08,0.282,Not Enrolled,2355.32
36.99,273.84,111.49,1.55,0.232,Not Enrolled,4759.42
5.46,172.56,210.85,23.09,0.283,Enrolled,1449.01
10.4,114.52,64.1,3.69,0.397,Not Enrolled,1353.56
3.04,57.52,309.36,83.38,0.477,Enrolled,409.91
4.72,47.11,312.47,54.63,0.146,Enrolled,489.36
7.92,151.84,679.11,176.87,0.286,Not Enrolled,519.7
3.93,124.14,373.78,132.69,0.299,Not Enrolled,415.98
0.768,35.56,132.36,91.94,0.0719,Enrolled,167.27
2.72,57.38,783.56,184.04,0.0526,Enrolled,424.53
12.22,153.94,743.62,69.13,0.727,Not Enrolled,1370.32
5.51,108.77,182.25,12.83,0.579,Not Enrolled,1335.13
3.15,308.21,452.83,59.35,0.134,Not Enrolled,1402.32
2.09,59.87,111.91,82.08,0.334,Enrolled,260.24
9.82,136.01,411.66,53.24,0.188,Not Enrolled,901.56
6.63,126.6,218.09,45.94,0.341,Not Enrolled,716.39
3.88,170.11,107.64,5.19,0.415,Not Enrolled,1956.71
1.49,139.98,291.05,63.56,0.301,Enrolled,842.86
19.07,320.92,466.03,16.58,0.322,Not Enrolled,3145.28
9.0,68.72,424.6,28.91,0.107,Not Enrolled,957.05
1.74,79.26,84.07,106.68,0.224,Enrolled,190.0
47.04,163.01,744.68,53.44,0.481,Not Enrolled,1549.41
6.43,48.72,381.01,60.73,0.29,Not Enrolled,460.64
1.96,32.7,477.96,231.62,0.345,Enrolled,157.11
7.87,35.92,183.98,27.78,0.131,Not Enrolled,403.95
2.1,51.76,52.21,8.53,0.183,Enrolled,612.19
0.754,125.98,102.48,120.53,0.215,Enrolled,251.53
9.71,135.02,411.64,57.7,0.222,Not Enrolled,954.92
2.3,38.84,197.7,102.47,0.179,Not Enrolled,182.76
3.53,64.06,100.22,20.37,0.0891,Not Enrolled,515.33
0.937,156.62,62.67,40.27,0.27,Enrolled,510.34
5.58,43.82,354.96,34.99,0.101,Not Enrolled,646.2
1.93,102.28,118.53,64.91,0.252,Enrolled,373.39
27.39,72.17,433.73,19.08,0.296,Not Enrolled,1353.75
1.11,63.94,320.27,199.56,0.0568,Enrolled,187.42
2.45,86.89,618.62,254.03,0.239,Not Enrolled,266.5
3.6,81.52,288.97,93.97,0.198,Not Enrolled,380.07
2.62,79.73,358.03,113.05,0.382,Not Enrolled,382.6
2.7,93.68,146.04,47.74,0.385,Not Enrolled,467.13
2.62,82.36,328.73,101.18,0.225,Not Enrolled,388.64
7.75,164.31,543.17,111.3,0.482,Not Enrolled,714.56
15.6,90.61,71.29,1.56,0.405,Not Enrolled,2121.41
8.78,64.74,264.22,17.39,0.446,Enrolled,1188.93
2.85,76.8,204.44,38.07,0.105,Not Enrolled,600.47
4.09,29.1,274.81,89.92,0.0349,Not Enrolled,185.73
2.51,107.9,92.12,16.96,0.128,Enrolled,852.59
3.33,67.35,253.28,54.45,0.624,Enrolled,563.05
9.86,94.48,703.43,121.46,0.373,Not Enrolled,623.51
12.44,86.01,600.11,76.21,0.264,Not Enrolled,760.75
1.65,39.54,140.53,136.3,0.0664,Enrolled,140.44
1.72,25.75,27.89,33.76,0.218,Enrolled,156.32
4.83,52.71,302.99,183.61,0.207,Enrolled,202.65
11.05,103.23,108.1,17.41,0.169,Not Enrolled,731.36
13.53,102.29,254.39,12.0,0.259,Not Enrolled,1566.33
1.09,53.66,147.99,162.06,0.205,Enrolled,140.76
0.691,55.9,64.68,63.92,0.274,Not Enrolled,209.21
2.88,99.45,72.78,10.42,0.613,Not Enrolled,880.12
11.06,42.06,1020.07,170.51,0.269,Enrolled,443.6
0.728,70.88,171.52,126.48,0.101,Not Enrolled,218.33
10.33,49.79,746.73,122.81,0.17,Not Enrolled,445.42
9.58,65.41,189.31,18.4,0.461,Enrolled,873.75
3.67,47.17,205.7,68.53,0.771,Enrolled,357.18
2.09,28.57,149.0,91.23,0.107,Not Enrolled,128.77
24.13,434.13,441.04,6.89,0.161,Not Enrolled,6068.76
12.74,105.81,418.53,28.4,0.26,Enrolled,1451.01
8.56,245.22,193.04,53.89,0.272,Enrolled,863.37
5.85,70.09,778.27,112.02,0.16,Not Enrolled,638.1
6.71,24.56,1128.88,302.43,0.128,Not Enrolled,159.04
9.89,54.62,569.62,117.15,0.338,Enrolled,438.05
1.25,55.04,274.15,175.06,0.0236,Enrolled,177.8
3.97,135.09,257.7,25.26,0.194,Enrolled,1351.7
0.487,64.66,123.9,195.43,0.00541,Enrolled,123.55
5.25,104.05,1008.97,231.22,0.0562,Enrolled,516.59
0.631,33.2,131.96,203.01,0.0958,Not Enrolled,81.57
2.32,107.03,87.66,88.97,0.401,Enrolled,288.78
4.02,133.72,171.14,25.38,0.289,Not Enrolled,917.4
21.16,71.54,1025.2,34.3,0.455,Not Enrolled,1711.65
4.18,89.24,163.56,41.4,0.0912,Enrolled,612.48
5.0,65.07,860.13,413.28,0.222,Enrolled,162.72
4.85,51.11,95.38,10.93,0.461,Enrolled,776.95
12.79,38.17,154.55,5.03,0.197,Not Enrolled,918.94
2.96,173.17,218.8,61.11,0.299,Not Enrolled,670.12
3.72,62.01,166.03,23.54,0.164,Enrolled,727.44
9.61,46.46,423.14,72.96,0.442,Not Enrolled,407.68
25.89,67.42,981.66,216.88,0.317,Not Enrolled,384.74
1.49,106.72,210.17,144.82,0.2,Enrolled,295.68
2.53,51.34,318.61,148.29,0.103,Enrolled,226.25
8.34,216.95,161.79,18.82,0.417,Enrolled,1617.45
2.65,51.64,224.8,70.77,0.362,Enrolled,339.02
5.95,52.8,990.58,379.78,0.489,Enrolled,191.61
2.1,48.76,160.73,42.39,0.12,Enrolled,391.46
1.28,30.41,22.93,11.84,0.0546,Enrolled,279.05
39.54,122.94,924.78,70.02,0.324,Not Enrolled,1384.06
8.01,68.84,506.78,76.9,0.396,Not Enrolled,646.46
9.51,104.13,96.22,5.77,0.396,Enrolled,1389.93
5.45,56.69,851.44,223.28,0.643,Enrolled,340.19
1.54,59.5,260.05,117.07,0.245,Enrolled,287.29
2.89,57.94,326.2,122.02,0.225,Enrolled,296.18
1.16,56.92,289.05,212.5,0.126,Enrolled,175.85
3.42,100.47,137.56,34.59,0.448,Enrolled,673.23
7.95,101.66,204.54,34.53,0.0961,Not Enrolled,675.55
1.64,122.81,337.23,200.72,0.378,Enrolled,300.24
3.99,33.85,444.55,72.14,0.41,Not Enrolled,343.1
7.72,72.59,317.98,28.54,0.464,Enrolled,982.11
2.51,41.48,109.11,17.48,0.29,Enrolled,500.21
3.27,45.5,418.98,96.01,0.106,Not Enrolled,341.22
6.49,64.76,341.57,46.68,0.316,Enrolled,725.38
28.89,95.34,273.59,9.12,0.562,Not Enrolled,1771.48
8.29,42.91,842.66,172.63,0.167,Enrolled,351.27
0.831,78.24,288.58,133.77,0.292,Enrolled,318.36
5.21,60.35,84.67,9.96,0.196,Not Enrolled,619.23
15.43,37.18,681.08,85.36,0.144,Not Enrolled,420.05
5.17,53.37,195.23,5.79,0.334,Enrolled,1649.02
5.58,63.02,263.06,71.02,0.533,Not Enrolled,363.49
2.95,97.55,342.74,180.88,0.0593,Enrolled,261.05
1.47,35.72,181.8,128.35,0.0952,Enrolled,151.91
9.96,103.32,549.17,85.16,0.383,Enrolled,935.89
2.69,40.77,265.93,165.57,0.0566,Enrolled,147.62
24.27,29.22,492.56,42.36,0.551,Not Enrolled,528.39
5.04,53.58,436.64,145.62,0.156,Not Enrolled,269.67
